7001,5001,12
7001,5002,10
7001,5003,15
7001,5004,15
7001,5005,13
7001,5006,14
7001,5007,12
7002,5001,8
7002,5002,9
7002,5003,9
7002,5004,11
7002,5005,9
7002,5006,8
7002,5007,11
7003,5001,10
7003,5002,11
7003,5003,6
7003,5004,16
7003,5005,12
7003,5006,10
7003,5007,9
7004,5001,9
7004,5002,11
7004,5003,11
7004,5004,11
7004,5005,11
7004,5006,15
7004,5007,10
7005,5001,12
7005,5002,10
7005,5003,10
7005,5004,9
7005,5005,8
7005,5006,18
7005,5007,9
7006,5001,9
7006,5002,12
7006,5003,11
7006,5004,5
7006,5005,12
7006,5006,6
7006,5007,12
7007,5001,11
7007,5002,10
7007,5003,5
7007,5004,10
7007,5005,15
7007,5006,13
7007,5007,16
7008,5001,9
7008,5002,8
7008,5003,14
7008,5004,11
7008,5005,9
7008,5006,6
7008,5007,11
7009,5001,11
7009,5002,12
7009,5003,10
7009,5004,14
7009,5005,11
7009,5006,13
7009,5007,13
7010,5001,14
7010,5002,9
7010,5003,11
7010,5004,5
7010,5005,7
7010,5006,11
7010,5007,13
