7001,4001,10,7,14,10
7001,4002,19,15,15,17
7001,4003,5,6,14,5
7001,4004,5,14,12,16
7001,4005,14,11,18,2
7001,4006,16,19,5,9
7001,4007,4,16,3,6
7001,4008,16,14,19,12
7001,4009,9,18,17,14
7001,4010,18,14,15,5
7001,4011,16,20,8,11
7001,4012,13,17,17,5
7001,4013,5,13,19,8
7002,4001,11,5,19,9
7002,4002,2,1,14,4
7002,4003,2,1,5,17
7002,4004,8,5,10,16
7002,4005,6,18,10,5
7002,4006,12,9,20,10
7002,4007,2,13,5,1
7002,4008,16,2,11,6
7002,4009,3,20,10,10
7002,4010,4,17,12,3
7002,4011,14,10,2,7
7002,4012,16,12,6,16
7002,4013,2,10,17,7
7003,4001,12,10,16,10
7003,4002,1,10,3,18
7003,4003,20,4,9,17
7003,4004,3,11,15,3
7003,4005,10,9,3,19
7003,4006,13,8,8,12
7003,4007,13,11,15,8
7003,4008,3,4,8,9
7003,4009,17,13,17,17
7003,4010,8,14,18,7
7003,4011,7,7,14,13
7003,4012,7,3,6,17
7003,4013,1,12,10,15
7004,4001,11,1,10,14
7004,4002,8,11,3,8
7004,4003,17,1,20,8
7004,4004,7,1,6,15
7004,4005,2,19,8,4
7004,4006,2,16,7,18
7004,4007,4,19,9,20
7004,4008,17,16,7,2
7004,4009,13,1,20,10
7004,4010,6,15,8,16
7004,4011,20,5,18,17
7004,4012,12,14,15,17
7004,4013,5,2,12,3
7005,4001,7,16,11,11
7005,4002,5,16,20,11
7005,4003,9,17,19,17
7005,4004,13,7,6,12
7005,4005,18,10,2,12
7005,4006,15,11,8,14
7005,4007,5,1,17,9
7005,4008,1,11,15,14
7005,4009,13,5,13,6
7005,4010,12,5,1,14
7005,4011,17,14,20,19
7005,4012,6,1,10,18
7005,4013,14,20,1,4
7006,4001,8,3,18,6
7006,4002,13,10,19,3
7006,4003,18,11,15,5
7006,4004,5,2,10,1
7006,4005,17,2,8,17
7006,4006,15,16,11,16
7006,4007,13,2,16,16
7006,4008,5,9,13,17
7006,4009,8,2,5,3
7006,4010,4,19,20,5
7006,4011,3,2,11,8
7006,4012,10,11,18,10
7006,4013,19,13,12,6
7007,4001,11,5,4,18
7007,4002,19,18,20,20
7007,4003,5,1,8,14
7007,4004,10,17,2,4
7007,4005,2,17,19,8
7007,4006,19,12,20,4
7007,4007,6,3,2,3
7007,4008,3,2,14,2
7007,4009,8,6,7,19
7007,4010,16,19,12,11
7007,4011,13,16,18,4
7007,4012,19,18,18,13
7007,4013,20,14,18,7
7008,4001,1,7,8,7
7008,4002,15,3,5,9
7008,4003,4,5,9,15
7008,4004,16,19,9,18
7008,4005,12,1,15,12
7008,4006,2,3,4,11
7008,4007,16,2,4,14
7008,4008,13,3,20,18
7008,4009,4,16,20,3
7008,4010,16,14,1,3
7008,4011,9,4,2,9
7008,4012,12,7,18,14
7008,4013,10,13,11,3
7009,4001,20,13,5,9
7009,4002,1,12,17,3
7009,4003,3,18,8,19
7009,4004,8,13,20,3
7009,4005,1,16,16,5
7009,4006,9,11,8,17
7009,4007,19,18,12,7
7009,4008,3,19,5,12
7009,4009,10,18,6,20
7009,4010,10,19,12,3
7009,4011,6,20,7,19
7009,4012,19,15,10,19
7009,4013,4,20,12,7
7010,4001,5,16,13,19
7010,4002,19,18,9,7
7010,4003,11,5,18,12
7010,4004,20,12,16,17
7010,4005,4,7,7,14
7010,4006,4,15,14,16
7010,4007,6,9,16,1
7010,4008,5,19,17,1
7010,4009,2,5,2,12
7010,4010,5,1,17,6
7010,4011,4,15,19,7
7010,4012,13,14,20,15
7010,4013,13,20,6,1
